Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
5/24/24,"Hypertension-Nephrology Associates, P.C.",1/20/24,4,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
5/24/24,New York Life Investment Management LLC,2/5/24,772,Name; Full Date of Birth; Other
5/24/24,"Messner Reeves on behalf of Chipotle Mexican Grill, Inc.",7/17/23,678,Name; Full Date of Birth
5/24/24,"TRC Staffing Services, Inc. d/b/a TRC Talent Solutions",3/25/24,2792,Name; Social Security Number
5/23/24,"Dendreon Pharmaceuticals (The Lash Group, LLC)",2/21/24,920,Name; Full Date of Birth; Medical Information; Other
5/23/24,"Incyte Corporation (The Lash Group, LLC)",2/21/24,745,Name; Full Date of Birth; Medical Information
5/22/24,"Novartis Pharmaceuticals Corporation (The Lash Group, LLC)",2/21/24,2520,Name; Full Date of Birth; Medical Information; Other
5/22/24,"Regeneron Pharmaceuticals, Inc. (The Lash Group, LLC)",2/21/24,13958,Name; Full Date of Birth; Medical Information; Other
5/22/24,"Trionfo Solutions, LLC",12/4/23,849,Name; Social Security Number; Full Date of Birth; Email Address and Password/Security Question Answers; Other
5/21/24,"Acadia Pharmaceuticals, Inc. (The Lash Group, LLC)",2/21/24,851,Name; Full Date of Birth; Medical Information
5/21/24,"AbbVie, Inc. (The Lash Group, LLC)",2/21/24,7931,Name; Full Date of Birth; Medical Information
5/17/24,"Bristol Myers Squibb/Bristol Myers Squibb Patient Assistance Foundation (The Lash Group, LLC)",2/21/24,34644,Name; Full Date of Birth; Medical Information
5/8/24,WebTPA,3/6/23,38420,Name; Social Security Number; Driver's License or Washington ID Card Number
5/8/24,Bodyartforms LLC,10/16/23,558,Name; Financial & Banking Information; Other
5/3/24,Electric Mirror LLC,3/29/24,1313,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Other
5/1/24,"Greenpoint Technologies, Inc.",9/7/23,1017,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Email Address and Password/Security Question Answers; Other
5/1/24,"United Seating and Mobility, L.L.C., d/b/a Numotion",4/29/24,35143,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
4/30/24,"Panda Restaurant Group, Inc. (PRG)",3/7/24,6916,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Military ID Number; Passport Number; Health Insurance Policy or ID Number
4/30/24,OE Federal Credit Union,8/19/23,3268,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Username and Password/Security Question Answers
4/30/24,"Continuum Global Solutions, LLC",1/15/24,1,Name; Full Date of Birth; Health Insurance Policy or ID Number
4/29/24,Wescom Central Credit Union,10/30/22,557,Name; Social Security Number; Financial & Banking Information
4/26/24,"Designed Receivable Solutions, Inc.",1/18/24,1131,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
4/25/24,"Berry, Dunn, McNeil & Parker, LLC",9/12/23,1888,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
4/23/24,"Valley Veterinary Clinic, LLC",2/4/24,661,Name; Financial & Banking Information
4/23/24,Prudential Insurance Company of America,2/4/24,872,Name; Social Security Number; Driver's License or Washington ID Card Number; Other
4/19/24,Centennial Bank,4/6/23,3044,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth
4/19/24,"Premera Blue Cross (Welltok, Inc.)",5/30/23,2384,Name; Full Date of Birth; Health Insurance Policy or ID Number; Other
4/19/24,Green Diamond Resource Company,6/26/23,9532,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
4/18/24,"JPMorgan Chase Bank, N.A.",8/26/21,4513,Name; Social Security Number; Financial & Banking Information; Other
4/16/24,"CVS, the Blue Cross Blue Shield Federal Employee Program (Welltok, Inc.)",5/30/23,4479,Name; Full Date of Birth; Medical Information; Other
4/16/24,Greylock McKinnon & Associates,,1323,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
4/12/24,"Goddard Systems, LLC",9/8/23,640,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Unique Private Key (e.g. used to authenticate or sign an electronic record)
4/11/24,"Mississippi Children's Home Services, Inc., Mississippi Chil",4/4/23,2477,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number; Medical Information
4/10/24,AT&T Inc.,3/26/24,378471,Name; Social Security Number; Full Date of Birth; Other
4/4/24,"Pacific Guardian Life Insurance Company, Limited",8/25/23,1950,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
4/2/24,On Q Financial,2/21/24,18757,Name; Social Security Number
4/2/24,City of Hope,7/7/23,3784,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number; Medical Information; Other
4/1/24,Northern Idaho Advanced Care Hospital,1/16/24,2728,Name; Social Security Number; Driver's License or Washington ID Card Number; Health Insurance Policy or ID Number; Medical Information
4/1/24,Ace Hardware Corporation,10/27/23,613,Name; Social Security Number; Full Date of Birth
4/1/24,Rehabilitation Hospital of the Northwest,1/16/24,728,Name; Social Security Number; Driver's License or Washington ID Card Number; Health Insurance Policy or ID Number; Medical Information
3/29/24,University System of Georgia,5/28/23,1000,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
3/28/24,"Hot Topic, Inc.",11/18/23,3655,Name; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
3/26/24,Orsini Pharmaceutical Services,1/8/24,832,Name; Social Security Number; Health Insurance Policy or ID Number; Medical Information
3/22/24,Fox Specialties Inc. Trading As Encompass Elements,10/20/23,1601,Name; Full Date of Birth; Medical Information
3/22/24,GardaWorld Cash U.S.,10/30/23,684,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
3/22/24,Lewis and Clark College,3/3/23,9725,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information
3/20/24,Monmouth College,12/6/22,677,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Medical Information
3/20/24,Axiom Construction and Consulting,10/25/23,1127,Name; Social Security Number; Full Date of Birth
3/20/24,"U.S.Vision, Inc.",4/20/21,8308,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
3/19/24,"Dial Temporary Help Service, Inc. dba Employers Overload",1/26/24,528,Name; Social Security Number
3/18/24,Bethel School District,2/12/24,28645,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Medical Information
3/18/24,"V12 Software, Inc.",2/15/24,11151,Name; Social Security Number; Driver's License or Washington ID Card Number
3/15/24,BioLife Plasma Services L.P.,1/31/24,874,Name; Full Date of Birth
3/12/24,"Gerson Lehrman Group, Inc.",11/12/23,3734,Name; Financial & Banking Information; Full Date of Birth; Passport Number
3/12/24,CCM Health,4/3/23,1273,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
3/8/24,Spokane Valley Fire Department,10/15/23,575,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information
3/7/24,"Nations Direct Mortgage, LLC",12/30/23,1862,Name; Social Security Number; Financial & Banking Information; Other
3/4/24,Assurance IQ,4/1/22,982,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
3/1/24,"Alliance Solutions Group, LLC (dba TalentLaunch)",5/30/23,569,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
3/1/24,Yakima Valley Radiology PC,8/11/23,161768,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
3/1/24,Fidelity Investments Life Insurance Company & Empire Fidelit,10/29/23,768,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
3/1/24,"Pacific Cataract and Laser Institute, Inc., P.C.",11/13/23,6587,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
2/29/24,Fred Hutchinson Cancer Center,10/27/23,14898,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
2/29/24,The Northwestern Mutual Life Insurance Company,10/29/23,1025,Name; Social Security Number; Full Date of Birth; Other
2/29/24,TAG Urgent Care Support Services LLC,4/25/23,594,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Medical Information; Username and Password/Security Question Answers; Other
2/29/24,Renton School District,7/13/23,18891,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers
2/29/24,"Baesman Group, Inc.",5/29/23,1658,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
2/28/24,Houser LLP,5/7/23,7791,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Biometric Data; Other
2/28/24,"Aetna ACE (Welltok, Inc.)",5/30/23,2653,Name; Health Insurance Policy or ID Number; Medical Information; Other
2/28/24,"Aspen Dental Management, Inc.",4/25/23,904,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Medical Information; Username and Password/Security Question Answers; Other
2/26/24,Kirkland & Ellis LLP on behalf of the Fed. Way Sch. Dist.,5/27/23,35274,Name; Full Date of Birth; Student ID Number; Other
2/23/24,UNITE HERE,10/20/23,76574,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information
2/23/24,"CVS Caremark Part D Services, L.L.C.",11/20/23,2193,Name; Medical Information
2/22/24,"U-Haul International, Inc.",7/20/23,16460,Name; Driver's License or Washington ID Card Number; Full Date of Birth
2/15/24,"loanDepot.com, LLC",1/3/24,502513,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
2/15/24,"Webber Chiropractic Sports Clinic, Inc.",10/26/23,1543,Name; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
2/9/24,International Center of Photography,,9,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Passport Number
2/9/24,Trinity Universal Insurance Company,7/7/23,31701,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
2/7/24,"Lineage, Inc (Delta Dental of California)",5/27/23,844,Name; Social Security Number; Medical Information
2/6/24,INTEGRIS Health,11/27/23,2040,Name; Social Security Number; Full Date of Birth; Medical Information
2/6/24,"Medical Management Resource Group, L.L.C.",11/14/23,4482,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
2/6/24,Employment Secruity Department of Washington State,10/25/23,519,Name; Social Security Number; Full Date of Birth; Medical Information
2/2/24,Sage Home Loans Corp. f/k/a Lenox Financial Mortgage Corp.,12/5/23,700,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
2/2/24,"Advarra, Inc.",10/25/23,1066,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
2/2/24,Infosys McCamish Systems LLC,10/29/23,857,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
1/31/24,"Prestige Care, Inc.",9/7/23,17145,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers
1/30/24,Washington State Department of Licensing,10/25/23,997,Name; Driver's License or Washington ID Card Number
1/30/24,Bankers Life and Casualty Company,11/28/23,865,Name; Social Security Number; Full Date of Birth; Other
1/30/24,GEICO (Delta Dental of California),5/27/23,1186,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
1/26/24,"Henry Schein, Inc.",9/27/23,1953,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
1/26/24,Keenan & Associates,8/21/23,5889,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
1/23/24,"Planet Home Lending, LLC",11/15/23,4651,Name; Social Security Number; Financial & Banking Information
1/22/24,"Philips Respironics International Colorado, Inc. (RICO)",5/31/23,14476,Name; Full Date of Birth; Medical Information; Other
1/18/24,Umpqua Community College,8/22/23,691,Name; Social Security Number; Driver's License or Washington ID Card Number; Student ID Number; Username and Password/Security Question Answers
1/18/24,The Washington Center for Deaf & Hard of Hearing Youth,12/14/23,594,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Student ID Number; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information
1/17/24,TGI Direct,5/28/23,3428,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
1/17/24,Oak View Group,11/9/23,1211,Name; Social Security Number
1/16/24,McCarthy & Holthus LLP,10/1/23,700,Name; Social Security Number; Financial & Banking Information; Full Date of Birth; Other
1/12/24,Alpha Supported Living Services,7/3/23,1383,Name; Social Security Number; Passport Number; Health Insurance Policy or ID Number; Medical Information; Biometric Data
1/10/24,CellNetix Pathology and Laboratories,12/10/23,1146,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Military ID Number; Passport Number; Health Insurance Policy or ID Number
1/10/24,Indigo Sky Casino and Resort and Outpost Casino,9/27/23,12,Name; Social Security Number; Driver's License or Washington ID Card Number; Medical Information
1/8/24,Highmark Blue Cross Blue Shield (Welltok),5/30/23,504,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
1/5/24,Moses Lake Community Health Center,7/26/23,1189,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
1/3/24,"First Financial Sercurity, Inc.",,2328,Name; Social Security Number; Other
12/29/23,"Navvis & Company, LLC",7/12/23,6783,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
12/29/23,Transformative Healthcare,2/17/23,940,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
12/27/23,Academy Mortgage Corporation,,17083,Name; Social Security Number
12/22/23,Fred Hutchinson Cancer Center,11/19/23,1694184,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
12/22/23,"United Healthcare Services, Inc. (Welltok)",5/30/23,9938,Name; Full Date of Birth; Other
12/22/23,The Switch Enterprises LLC,11/18/23,1,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number
12/22/23,"LoanCare, LLC",11/19/23,44465,Name; Social Security Number; Other
12/22/23,"LoanCare, LLC",11/19/23,44465,Name; Social Security Number; Other
12/21/23,California Northstate University,2/12/23,5694,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information
12/20/23,"ESO Solutions, Inc.",9/17/23,2298,Name; Social Security Number; Full Date of Birth; Medical Information
12/19/23,Recology Inc. (“Recology”),11/1/23,3540,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
12/19/23,"Kwik Trip, Inc.",10/8/23,1191,Name; Full Date of Birth
12/18/23,Comcast Cable Communications LLC,10/16/23,3100608,Name; Social Security Number; Full Date of Birth; Username and Password/Security Question Answers
12/16/23,Orchard LLC,,514,Name; Social Security Number; Full Date of Birth
12/15/23,Nationstar Mortgage LLC (dba Mr. Cooper),10/30/23,408616,Name; Financial & Banking Information; Full Date of Birth; Other
12/15/23,"Berkshire Production Supply, LLC d/b/a Berkshire eSupply",,712,Name; Full Date of Birth; Username and Password/Security Question Answers; Other
12/15/23,"Reyes Holdings, LLC (Welltok, Inc.)",3/30/24,543,Name; Full Date of Birth; Health Insurance Policy or ID Number
12/15/23,"Centerwell Pharmacy (Welltok, Inc.)",5/30/23,12222,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
12/15/23,"Humana, Inc. (Welltok, Inc.)",5/30/23,33193,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
12/15/23,"Cohere Health (Welltok, Inc.)",5/30/23,2299,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
12/14/23,Dentegra Insurance Company,5/27/23,1156,Name; Social Security Number; Financial & Banking Information; Health Insurance Policy or ID Number; Medical Information
12/14/23,Delta Dental of California and its affiliates,5/27/23,106098,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
12/8/23,Americold Logistics LLC,4/26/23,3434,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
12/8/23,Idaho National Laboratory,11/19/23,817,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
12/8/23,"Norton Healthcare, Inc.",5/7/23,1872,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Other
12/6/23,Hi-School Pharmacy,11/2/23,3695,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
12/5/23,Elixir RX Solutions (Welltok),,544,Name; Full Date of Birth; Health Insurance Policy or ID Number; Other
12/4/23,"Gunster, Yoakley & Steward, PA",7/20/22,3014,Name; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
12/4/23,"Midwest Gaming & Entertainment, LLC dba Rivers Casino Des Plaines",8/12/23,1946,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number
12/4/23,Pan-American Life Insurance Group,,616,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Medical Information; Biometric Data
12/4/23,Taylor University,2/26/23,1066,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Medical Information
12/1/23,Washington State Employees Credit Union (WSECU),10/28/23,1216,Name; Financial & Banking Information; Other
11/27/23,"Zeroed-In Technologies, LLC (Dollar Tree & Family Dollar)",8/7/23,61088,Name; Social Security Number; Full Date of Birth
11/27/23,"World Learning, Inc.",4/20/23,1331,Name; Social Security Number; Full Date of Birth
11/22/23,Big Brothers Big Sisters of America,3/28/23,15604,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
11/22/23,"AutoZone, Inc.",5/28/23,2509,Name; Social Security Number; Full Date of Birth
11/22/23,"Graphic Packaging International (Welltok, Inc.)",5/30/23,554,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
11/21/23,Delaware Life Insurance Company,11/30/22,7252,Name; Social Security Number; Full Date of Birth; Other
11/21/23,NSC Technologies,6/19/23,1072,Name; Social Security Number; Full Date of Birth
11/20/23,"Mas Tec, Inc.",5/27/23,675,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
11/20/23,Proliance Surgeons,2/11/23,329291,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers
11/18/23,"Welltok, Inc. (Regence Blue Shield, Regence Blue Shield of Idaho, Regence Blue Cross/Blue Shield (Oregon & Utah)) (Regence BlueShield of Oregon, Regence BlueCross / BlueShield of Utah, Regence BlueShield, Regence BlueShield Of Idaho)",5/30/23,1606,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
11/17/23,"Medical Eye Services, Inc. (Blue Shield of California)",5/28/23,2962,Name; Social Security Number; Full Date of Birth; Medical Information; Other
11/17/23,International Paper Company,5/30/23,1057,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number
11/16/23,Pacific Union College,3/6/23,1921,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Medical Information
11/16/23,"Systems East, Inc.",8/25/23,2753,Name; Financial & Banking Information; Other
11/15/23,"Medical Eye Services, Inc. (Costco Wholesale Corporation)",5/28/23,35746,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/13/23,State of Maine,5/28/23,2606,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
11/10/23,Seattle Housing Authority,8/9/23,32007,Name; Social Security Number; Financial & Banking Information
11/8/23,Western Washington Medical Group,7/7/23,334360,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
11/3/23,"Perry Johnson & Associates, Inc. (PJ&A) (Concentra, Inc.)",3/27/23,1013,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
11/3/23,"Westat, Inc.",5/28/23,1,Name; Medical Information
11/3/23,Holiday by Atria,7/18/23,656,Name; Full Date of Birth
